"title","page_url","lastmod","retrieval_ok"
"(untitled)","https://wiki.entropia.top","2024-12-29T22:56:26.870Z","yes"
"Last Main Content Patch","https://wiki.entropia.top/last-main-content-patch","2024-03-05T20:03:10.958Z","yes"
"Server Rates","https://wiki.entropia.top/server-rates","2024-03-07T23:42:23.160Z","yes"
"Technical Game Problems?","https://wiki.entropia.top/technical-game-problems","2023-04-13T17:56:28.000Z","yes"
"My game does not launch","https://wiki.entropia.top/technical-game-problems/my-game-does-not-launch","2024-03-05T19:57:15.430Z","yes"
"Game Whitescreen","https://wiki.entropia.top/technical-game-problems/game-whitescreen","2023-04-13T11:18:22.000Z","yes"
"Launcher Error","https://wiki.entropia.top/technical-game-problems/launcher-error","2024-03-05T19:57:15.505Z","yes"
"Ghost DCs / Bad Ping","https://wiki.entropia.top/technical-game-problems/ghost-dcs-bad-ping","2024-03-05T19:57:15.379Z","yes"
"How to play the game on MacOS?","https://wiki.entropia.top/technical-game-problems/how-to-play-the-game-on-macos","2023-04-13T11:57:16.000Z","yes"
"Bugsplat / Crashes","https://wiki.entropia.top/technical-game-problems/bugsplat-crashes","2023-04-13T11:54:44.000Z","yes"
"The resolution under 4k screens is displayed incorrectly.","https://wiki.entropia.top/technical-game-problems/the-resolution-under-4k-screens-is-displayed-incorrectly.","2023-04-13T10:35:31.000Z","yes"
"Better Performance","https://wiki.entropia.top/technical-game-problems/better-performance","2023-04-13T11:49:37.000Z","yes"
"Client Unpack Issues","https://wiki.entropia.top/technical-game-problems/client-unpack-issues","2023-04-27T21:33:12.000Z","yes"
"Beginner Guide","https://wiki.entropia.top/new-players/beginner-guide","2024-03-04T22:53:57.348Z","yes"
"Before you start","https://wiki.entropia.top/new-players/beginner-guide/before-you-start","2026-02-17T17:30:28.382Z","yes"
"Level 1 to 175","https://wiki.entropia.top/new-players/beginner-guide/level-1-to-175","2026-02-17T17:30:28.399Z","yes"
"What comes after level 175?","https://wiki.entropia.top/new-players/beginner-guide/what-comes-after-level-175","2024-03-07T23:28:53.820Z","yes"
"Increase your EXP & Damage","https://wiki.entropia.top/new-players/beginner-guide/increase-your-exp-and-damage","2024-03-05T19:23:53.902Z","yes"
"I farmed some Entropia Chip Perin, what now?","https://wiki.entropia.top/new-players/beginner-guide/i-farmed-some-entropia-chip-perin-what-now","2024-03-06T20:38:38.380Z","yes"
"After Platin 50","https://wiki.entropia.top/new-players/beginner-guide/after-platin-50","2024-03-05T20:21:54.494Z","yes"
"Best way to get into the game","https://wiki.entropia.top/new-players/beginner-guide/best-way-to-get-into-the-game","2024-03-05T18:51:41.660Z","yes"
"Equipment Guide","https://wiki.entropia.top/new-players/equipment-guide","2025-01-14T09:41:02.429Z","yes"
"Fashion Set Guide","https://wiki.entropia.top/new-players/fashion-set-guide","2025-01-14T10:04:47.479Z","yes"
"Jewellery Guide","https://wiki.entropia.top/new-players/jewellery-guide","2025-01-14T10:23:44.766Z","yes"
"Important Power-Ups Guide","https://wiki.entropia.top/new-players/important-power-ups-guide","2025-01-14T10:24:55.075Z","yes"
"Level Boost Token / Royal Level 6","https://wiki.entropia.top/new-players/level-boost-token-royal-level-6","2026-02-17T17:30:28.399Z","yes"
"What should I do after i reached Royal Level 6?","https://wiki.entropia.top/new-players/level-boost-token-royal-level-6/what-should-i-do-after-i-reached-royal-level-6","2026-02-17T17:30:28.367Z","yes"
"Progression after Reaching Royal Level 10","https://wiki.entropia.top/new-players/level-boost-token-royal-level-6/progression-after-reaching-royal-level-10","2026-02-17T17:32:19.764Z","yes"
"Alchemy","https://wiki.entropia.top/systems/alchemy","2024-03-09T15:02:17.758Z","yes"
