epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.31003,1.59966,3.45888,1.12965,0.005,0.22222,0.01012,0.00839,2.08131,3.71757,1.31019,0,0,0
2,4.29633,1.60291,3.34779,1.18103,0.005,0.22222,0.01012,0.00839,2.08131,3.71757,1.31019,0.000653467,0.000653467,0.000653467
3,6.49542,1.50839,3.36512,1.09489,0.005,0.22222,0.01012,0.00839,2.08131,3.71757,1.31019,0.00128053,0.00128053,0.00128053
4,8.44519,1.62345,3.24737,1.11559,0.00583,0.25926,0.01865,0.00291,3.33497,3.95598,1.98023,0.0018812,0.0018812,0.0018812
5,10.3689,2.6173,3.14877,1.7698,0.00583,0.25926,0.01865,0.00291,3.33497,3.95598,1.98023,0.0018416,0.0018416,0.0018416
6,12.2931,2.68373,3.09018,1.6012,0.00583,0.25926,0.01865,0.00291,3.33497,3.95598,1.98023,0.001802,0.001802,0.001802
7,14.2979,2.7131,3.06174,1.39798,0.00417,0.18519,0.01815,0.00544,2.72073,3.94247,1.70117,0.0017624,0.0017624,0.0017624
8,16.2408,2.24883,2.66183,1.47008,0.00417,0.18519,0.01815,0.00544,2.72073,3.94247,1.70117,0.0017228,0.0017228,0.0017228
9,18.0822,2.53001,2.79997,1.47668,0.00417,0.18519,0.01815,0.00544,2.72073,3.94247,1.70117,0.0016832,0.0016832,0.0016832
10,20.0246,2.30167,3.12133,1.70368,0.00417,0.18519,0.03045,0.01136,2.68029,3.88742,1.83375,0.0016436,0.0016436,0.0016436
11,22.8551,2.25355,2.60975,1.522,0.00417,0.18519,0.03045,0.01136,2.68029,3.88742,1.83375,0.001604,0.001604,0.001604
12,24.8164,2.22483,2.28014,1.47062,0.00417,0.18519,0.03045,0.01136,2.68029,3.88742,1.83375,0.0015644,0.0015644,0.0015644
13,26.7008,2.30068,2.41667,1.49303,0.0025,0.11111,0.01517,0.00589,2.44454,3.88158,1.90608,0.0015248,0.0015248,0.0015248
14,28.677,1.84448,1.84775,1.16335,0.0025,0.11111,0.01517,0.00589,2.44454,3.88158,1.90608,0.0014852,0.0014852,0.0014852
15,30.5023,1.7726,2.06291,1.27025,0.0025,0.11111,0.01517,0.00589,2.44454,3.88158,1.90608,0.0014456,0.0014456,0.0014456
16,32.4079,2.01139,1.9971,1.34417,0.0025,0.11111,0.01307,0.00575,2.44402,4.07254,1.63725,0.001406,0.001406,0.001406
17,34.3271,1.84018,2.0909,1.26216,0.0025,0.11111,0.01307,0.00575,2.44402,4.07254,1.63725,0.0013664,0.0013664,0.0013664
18,36.4105,1.86908,1.97469,1.38095,0.0025,0.11111,0.01307,0.00575,2.44402,4.07254,1.63725,0.0013268,0.0013268,0.0013268
19,38.3315,1.79322,1.64619,1.17335,0.00333,0.14815,0.00621,0.00066,2.61856,4.2559,1.98152,0.0012872,0.0012872,0.0012872
20,40.2752,1.72702,1.89095,1.2641,0.00333,0.14815,0.00621,0.00066,2.61856,4.2559,1.98152,0.0012476,0.0012476,0.0012476
21,42.1255,1.55712,2.28135,1.17499,0.00333,0.14815,0.00621,0.00066,2.61856,4.2559,1.98152,0.001208,0.001208,0.001208
22,44.0132,1.81394,1.73802,1.18625,0.0025,0.11111,0.00059,0.0001,2.63163,4.14958,2.01875,0.0011684,0.0011684,0.0011684
23,45.8719,1.75483,1.95034,1.33301,0.0025,0.11111,0.00059,0.0001,2.63163,4.14958,2.01875,0.0011288,0.0011288,0.0011288
24,47.7414,1.93627,1.83157,1.32202,0.0025,0.11111,0.00059,0.0001,2.63163,4.14958,2.01875,0.0010892,0.0010892,0.0010892
25,49.6247,1.79455,1.63244,1.17806,0.0025,0.11111,0.00033,0.0001,2.42527,4.13911,1.99875,0.0010496,0.0010496,0.0010496
26,52.2861,1.73793,1.62065,1.10446,0.0025,0.11111,0.00033,0.0001,2.42527,4.13911,1.99875,0.00101,0.00101,0.00101
27,54.2644,1.57083,1.50073,1.18269,0.0025,0.11111,0.00033,0.0001,2.42527,4.13911,1.99875,0.0009704,0.0009704,0.0009704
28,56.1356,1.57265,1.63067,1.12629,0.0025,0.11111,0.00033,6e-05,2.17682,4.19727,1.8598,0.0009308,0.0009308,0.0009308
29,58.0976,1.62474,1.46126,1.10832,0.0025,0.11111,0.00033,6e-05,2.17682,4.19727,1.8598,0.0008912,0.0008912,0.0008912
30,60.0204,1.64407,1.41305,1.07497,0.0025,0.11111,0.00033,6e-05,2.17682,4.19727,1.8598,0.0008516,0.0008516,0.0008516
